project,ref_stat,ref_data,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soil_mass_cum,soc_cum,soil_mass,soc,esm_depth,actual_depth
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-2,2,esm1,-3.7,-8,1290.3386508,33.746830267176,754.69487076,19.9732861072274,5-10 cm,3.7-8 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-2,2,esm2,-3.86952771168129,-8.11888372239129,1295.1535669,34.3477892655257,754.885873766667,20.7079384625848,5-10 cm,3.9-8.1 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-3,3,esm1,-8,-26.7,4391.01069797,98.8120139885841,3100.67204717,65.0651837214081,10-30 cm,8-26.7 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-3,3,esm2,-8.11888372239129,-26.6526342835734,4392.41666656667,98.8766277201327,3097.26309966667,64.528838454607,10-30 cm,8.1-26.7 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-4,4,esm1,-26.7,-56.7,9100.46036511996,157.974280171555,4709.44966714996,59.162266182971,30-60 cm,26.7-56.7 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-001,IL-147-SW-CRP-001-4,4,esm2,-26.6526342835734,-56.3648322410961,9115.32344960175,159.854308164945,4722.90678303509,60.9776804448123,30-60 cm,26.7-56.4 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-1,1,esm1,0,-5,526.117729,13.055611445135,526.117729,13.055611445135,0-5 cm,0-5 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-1,1,esm2,0,-5.10928078234689,540.267693133333,13.370112044248,540.267693133333,13.370112044248,0-5 cm,0-5.1 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-2,2,esm1,-5,-9.9,1279.82997248,28.1735716248569,753.712243480001,15.1179601797219,5-10 cm,5-9.9 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-2,2,esm2,-5.10928078234689,-9.99964029904318,1295.1535669,28.4810004128841,754.885873766667,15.1108883686361,5-10 cm,5.1-10 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-3,3,esm1,-9.9,-29.9,4378.06102264,80.3721903653437,3098.23105016,52.1986187404868,10-30 cm,9.9-29.9 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-3,3,esm2,-9.99964029904318,-29.9893292024765,4392.41666656667,80.5970092144141,3097.26309966667,52.11600880153,10-30 cm,10-30 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-4,4,esm1,-29.9,-60.4,9104.46662119998,138.010789644685,4726.40559855998,57.6385992793416,30-60 cm,29.9-60.4 cm
Illinois,mean,project,BAU,IL-147-SW-CRP-002,IL-147-SW-CRP-002-4,4,esm2,-29.9893292024765,-60.9685927889514,9115.32344960175,149.166725058368,4722.90678303509,68.5697158439544,30-60 cm,30-61 cm
